Video Name,Frame Number,Right Knee Angle,Right Hip Angle,Right Ankle Angle,Left Knee Angle,Left Hip Angle,Left Ankle Angle
vid4,313,168.04,179.68,136.24,176.7,167.91,132.69
vid4,314,168.11,178.49,136.55,177.42,168.38,125.51
vid4,315,166.02,176.83,135.98,174.86,168.84,129.49
vid4,316,160.82,177.74,138.17,169.13,166.89,131.57
vid4,317,153.91,179.83,139.22,167.03,167.36,127.87
vid4,318,146.58,177.97,139.29,166.13,167.77,126.65
vid4,319,147.94,179.23,142.56,165.18,167.78,126.83
vid4,320,145.12,178.0,141.37,166.04,170.82,125.96
vid4,321,146.7,176.77,137.0,163.61,168.95,123.99
vid4,322,152.46,175.26,131.61,163.92,170.18,122.34
vid4,323,159.7,176.4,135.79,165.36,171.34,124.47
vid4,324,168.74,176.13,127.04,166.82,172.92,125.17
vid4,325,172.82,176.07,124.57,167.36,173.05,126.97
vid4,326,173.15,175.25,128.08,168.32,173.56,125.38
vid4,327,175.37,175.87,123.25,168.78,172.75,125.45
vid4,328,176.37,175.79,123.83,166.56,170.76,126.62
vid4,329,175.41,175.55,118.74,163.73,168.88,124.19
vid4,330,174.57,172.6,130.28,158.18,165.09,122.79
vid4,331,170.0,170.62,126.88,152.96,161.79,127.97
vid4,332,169.37,170.98,131.4,150.82,162.07,134.0
vid4,333,160.57,168.11,133.11,144.09,160.68,134.81
vid4,334,160.36,168.45,132.38,141.93,161.31,138.66
vid4,335,163.42,171.73,136.35,142.95,162.89,139.3
vid4,336,166.1,173.09,138.16,142.28,160.8,137.25
vid4,337,171.62,173.66,134.67,140.82,157.79,133.94
vid4,338,174.61,173.62,136.82,150.3,159.45,137.78
vid4,339,174.27,173.22,144.64,156.73,161.12,135.12
vid4,340,176.03,173.7,143.68,161.95,163.44,136.39
vid4,341,177.08,175.07,143.05,163.76,165.09,134.53
vid4,342,177.46,176.34,142.35,165.31,167.33,134.33
vid4,343,178.45,177.1,140.08,165.74,167.42,133.6
vid4,344,178.64,176.52,139.81,165.52,167.65,130.43
vid4,345,178.04,176.53,140.05,167.16,170.9,132.53
vid4,346,178.16,177.41,139.18,166.43,170.42,132.59
vid4,347,176.4,177.2,143.42,165.88,170.12,131.62
vid4,348,177.51,178.6,142.32,165.41,170.9,130.32
vid4,349,177.91,179.8,134.68,165.99,172.81,128.63
vid4,350,178.02,178.9,130.66,167.57,174.49,127.68
